TS代码,股票名称,行业
688017.SH,绿的谐波,自动化设备
688157.SH,松井股份,化学制品
688047.SH,C龙芯,半导体
688320.SH,禾川科技,自动化设备
688325.SH,赛微微电,半导体
688533.SH,上声电子,汽车零部件
600272.SH,开开实业,医药商业
601101.SH,昊华能源,煤炭开采
603656.SH,泰禾智能,专用设备
603758.SH,秦安股份,汽车零部件
603319.SH,湘油泵,汽车零部件
605050.SH,福然德,物流
600361.SH,华联综超,一般零售
600829.SH,人民同泰,医药商业
603530.SH,神马电力,电网设备
603322.SH,超讯通信,通信服务
600213.SH,亚星客车,商用车
600513.SH,联环药业,化学制药
603330.SH,上海天洋,塑料
600259.SH,广晟有色,小金属
603527.SH,众源新材,工业金属
603051.SH,鹿山新材,化学制品
605499.SH,东鹏饮料,饮料乳品
603728.SH,鸣志电器,电机Ⅱ
603779.SH,威龙股份,非白酒
603097.SH,江苏华辰,电网设备
600969.SH,郴电国际,电力
600348.SH,华阳股份,煤炭开采
601717.SH,郑煤机,专用设备
605588.SH,冠石科技,光学光电子
603917.SH,合力科技,汽车零部件
603015.SH,弘讯科技,自动化设备
688116.SH,天奈科技,电池
600477.SH,杭萧钢构,专业工程
603239.SH,浙江仙通,汽车零部件
601886.SH,江河集团,装修装饰Ⅱ
600378.SH,昊华科技,化学制品
600418.SH,江淮汽车,商用车
688621.SH,阳光诺和,医疗服务
688097.SH,博众精工,自动化设备
600165.SH,新日恒力,化学制品
600004.SH,白云机场,航空机场
601001.SH,晋控煤业,煤炭开采
603399.SH,吉翔股份,小金属
688037.SH,芯源微,半导体
603966.SH,法兰泰克,专用设备
600686.SH,金龙汽车,商用车
688630.SH,芯碁微装,专用设备
603345.SH,安井食品,食品加工
603688.SH,石英股份,非金属材料Ⅱ
603317.SH,天味食品,调味发酵品Ⅱ
600026.SH,中远海能,航运港口
603517.SH,绝味食品,休闲食品
605117.SH,德业股份,家电零部件Ⅱ
603737.SH,三棵树,装修建材
605376.SH,博迁新材,小金属
603032.SH,德新交运,铁路公路
600647.SH,同达创业,综合Ⅱ
600328.SH,中盐化工,化学原料
600841.SH,动力新科,汽车零部件
600761.SH,安徽合力,工程机械
688662.SH,富信科技,其他电子Ⅱ
603192.SH,汇得科技,化学制品
603800.SH,道森股份,专用设备
688356.SH,键凯科技,化学制药
