TS代码,股票代码,股票名称,行业
003039.SZ,157,顺控发展,环境治理
002738.SZ,158,中矿资源,小金属
002902.SZ,159,铭普光磁,通信设备
002805.SZ,160,丰元股份,化学原料
002623.SZ,161,亚玛顿,光伏设备
002248.SZ,162,华东数控,通用设备
002101.SZ,163,广东鸿图,汽车零部件
002996.SZ,164,顺博合金,工业金属
002747.SZ,165,埃斯顿,自动化设备
002917.SZ,166,金奥博,化学制品
002291.SZ,167,星期六,广告营销
002907.SZ,168,华森制药,中药Ⅱ
002033.SZ,169,丽江股份,旅游及景区
002843.SZ,170,泰嘉股份,通用设备
002571.SZ,171,德力股份,家居用品
002786.SZ,172,银宝山新,专用设备
002514.SZ,173,宝馨科技,通用设备
000058.SZ,174,深 赛 格,一般零售
002888.SZ,175,惠威科技,消费电子
002953.SZ,176,日丰股份,电网设备
001208.SZ,177,华菱线缆,电网设备
002753.SZ,178,永东股份,橡胶
002191.SZ,179,劲嘉股份,包装印刷
002451.SZ,180,摩恩电气,电网设备
002451.SZ,181,摩恩电气,电网设备
002331.SZ,182,皖通科技,IT服务Ⅱ
000868.SZ,183,安凯客车,商用车
002355.SZ,184,兴民智通,汽车零部件
002565.SZ,185,顺灏股份,包装印刷
002689.SZ,186,远大智能,专用设备
301266.SZ,187,宇邦新材,光伏设备
000524.SZ,188,岭南控股,旅游及景区
300552.SZ,189,万集科技,计算机设备
003021.SZ,190,兆威机电,电机Ⅱ
000625.SZ,191,长安汽车,乘用车
002460.SZ,192,赣锋锂业,能源金属
300910.SZ,193,瑞丰新材,化学制品
300611.SZ,194,美力科技,汽车零部件
300545.SZ,195,联得装备,光学光电子
002610.SZ,196,爱康科技,光伏设备
300543.SZ,197,朗科智能,消费电子
002760.SZ,198,凤形股份,通用设备
300712.SZ,199,永福股份,专业工程
300973.SZ,200,立高食品,休闲食品
